time,taker,case,base,quote,price,quantity
2022-10-11 23:48:28.04095,6c8816eeb636e7b7514c0a12bc8a4d18c7372a54a3492af432300e20e832d3d3,sell,Mango,USD Coin,0.0143,3972
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.016,2286
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0168,766
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0166,1119
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0164,2137
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0164,1524
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0164,1233
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0162,1087
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0162,760
2022-10-11 23:48:22.408752,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0143,856
2022-10-11 23:48:17.144256,Mango,sell,Mango,USD Coin,0.0167,35
2022-10-11 23:48:17.144256,Mango,sell,Mango,USD Coin,0.0167,997
2022-10-11 23:48:17.144256,Mango,sell,Mango,USD Coin,0.0166,301
2022-10-11 23:48:17.144256,Mango,sell,Mango,USD Coin,0.0166,15
2022-10-11 23:48:17.144256,Mango,sell,Mango,USD Coin,0.0167,217
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0167,10
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0167,193
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0167,4
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0168,9
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0168,39
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0168,210
2022-10-11 23:48:11.501208,Mango,sell,Mango,USD Coin,0.0167,460
2022-10-11 23:48:05.895006,Mango,sell,Mango,USD Coin,0.0168,169
2022-10-11 23:48:05.895006,Mango,sell,Mango,USD Coin,0.0168,234
2022-10-11 23:45:35.426507,Mango,sell,Mango,USD Coin,0.0168,3
2022-10-11 23:45:16.897363,Mango,sell,Mango,USD Coin,0.0167,1
2022-10-11 23:45:16.897363,Mango,sell,Mango,USD Coin,0.0167,1
2022-10-11 23:45:16.897363,Mango,sell,Mango,USD Coin,0.0167,3
2022-10-11 23:44:37.829508,Mango,sell,Mango,USD Coin,0.0167,19
2022-10-11 23:44:37.829508,Mango,sell,Mango,USD Coin,0.0169,79
2022-10-11 23:44:37.829508,Mango,sell,Mango,USD Coin,0.0169,4
2022-10-11 23:44:37.829508,Mango,sell,Mango,USD Coin,0.0169,3
2022-10-11 23:38:38.176886,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.02,505
2022-10-11 23:38:38.176886,Mango,sell,Mango,USD Coin,0.0195,454
2022-10-11 23:34:21.893256,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0199,348
2022-10-11 23:34:21.893256,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0199,156
2022-10-11 23:34:21.893256,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0199,504
2022-10-11 23:33:39.565791,Mango,sell,Mango,USD Coin,0.0199,5
2022-10-11 23:33:34.151331,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0201,229
2022-10-11 23:33:34.151331,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0199,272
2022-10-11 23:33:34.151331,c451cf9687e64bcb54efa9b5f1ebfe9874adf11c93b3734c4f5b932a70a4c3a5,sell,Mango,USD Coin,0.0201,499
2022-10-11 23:33:16.487326,e9dbe1704f50f5ada909be739dc359549d6e5a04d36a557f9ce87bb02a02eb08,sell,Mango,USD Coin,0.0199,363
